antiguedad_meses,monto_mensual,soporte_tecnico_clicks,tipo_contrato,metodo_pago,gasto_por_mes,indice_insatisfaccion,score_fidelidad,churn,antiguedad_meses_norm,monto_mensual_norm,soporte_tecnico_clicks_norm
62,488.43,49.0,Bianual,Pago Manual,7.7529,49.0,28.7,1,0.5126,0.976,0.98
30,41.77,6.0,Anual,Tarjeta de Crédito,1.3474,6.0,19.2,0,0.2437,0.0452,0.12
99,183.95,48.0,Anual,Tarjeta de Crédito,1.8395,48.0,54.9,0,0.8235,0.3415,0.96
88,380.38,39.0,Anual,Débito Automático,4.2739,39.0,49.9,0,0.7311,0.7508,0.78
68,264.52,41.0,Bianual,Débito Automático,3.8336,41.0,35.3,1,0.563,0.5094,0.82
111,84.32,27.0,Bianual,Débito Automático,0.7529,27.0,69.6,0,0.9244,0.1338,0.54
78,220.61,43.0,Mensual,Débito Automático,2.7925,64.5,41.7,0,0.6471,0.4179,0.86
87,420.47,18.0,Bianual,Tarjeta de Crédito,4.7781,18.0,55.5,1,0.7227,0.8344,0.36
44,479.75,36.0,Anual,Tarjeta de Crédito,10.6611,36.0,20.0,1,0.3613,0.9579,0.72
60,375.07,35.0,Anual,Tarjeta de Crédito,6.1487,35.0,31.5,1,0.4958,0.7398,0.7
65,96.72,24.0,Mensual,Tarjeta de Crédito,1.4655,36.0,38.3,1,0.5378,0.1597,0.48
38,156.71,25.0,Anual,Tarjeta de Crédito,4.0182,25.0,19.1,1,0.3109,0.2847,0.5
87,259.28,12.0,Anual,Débito Automático,1.5986,12.0,57.3,0,0.7227,0.4984,0.24
99,469.45,50.0,Bianual,Débito Automático,4.6945,50.0,54.3,0,0.8235,0.9364,1.0
96,277.4,18.0,Anual,Débito Automático,2.8598,18.0,61.8,0,0.7983,0.5362,0.36
28,157.23,42.0,Anual,Débito Automático,5.4217,42.0,7.0,0,0.2269,0.2858,0.84
31,123.15,21.0,Anual,Débito Automático,3.8484,21.0,15.4,0,0.2521,0.2148,0.42
54,179.33,10.0,Anual,Débito Automático,3.2605,10.0,34.8,1,0.4454,0.3318,0.2
59,333.16,2.0,Bianual,Tarjeta de Crédito,5.5527,2.0,40.7,1,0.4874,0.6524,0.04
110,415.85,47.0,Bianual,Pago Manual,3.7464,47.0,62.9,0,0.916,0.8247,0.94
1,127.53,16.0,Anual,Débito Automático,63.765,16.0,-4.1,1,0.0,0.2239,0.32
85,251.21,42.0,Anual,Pago Manual,2.921,42.0,46.9,1,0.7059,0.4816,0.84
51,326.61,35.0,Bianual,Débito Automático,6.281,35.0,25.2,0,0.4202,0.6388,0.7
109,439.25,50.0,Mensual,Débito Automático,3.9932,75.0,61.3,1,0.9076,0.8735,1.0
90,259.28,24.0,Anual,Tarjeta de Crédito,5.3859,24.0,55.8,1,0.7479,0.4984,0.48
33,459.86,50.0,Bianual,Tarjeta de Crédito,13.5253,50.0,8.1,1,0.2689,0.9165,1.0
88,151.72,34.0,Anual,Tarjeta de Crédito,1.7047,34.0,51.4,0,0.7311,0.2743,0.68
31,250.43,25.0,Bianual,Débito Automático,7.8259,26.0,13.9,0,0.2521,0.48,0.5
67,452.78,47.0,Mensual,Pago Manual,6.6585,70.5,32.8,0,0.5546,0.9017,0.94
120,52.48,11.0,Anual,Débito Automático,0.4337,11.0,80.7,0,1.0,0.0675,0.22
93,350.41,48.0,Anual,Débito Automático,3.7278,48.0,50.7,0,0.7731,0.6884,0.96
10,425.26,42.0,Mensual,Tarjeta de Crédito,38.66,63.0,-5.6,1,0.0756,0.8443,0.84
118,207.43,6.0,Anual,Pago Manual,1.7431,6.0,80.8,1,0.9832,0.3904,0.12
4,279.75,44.0,Mensual,Tarjeta de Crédito,55.95,66.0,-10.4,1,0.0252,0.5411,0.88
54,352.46,0.0,Mensual,Débito Automático,6.4084,0.0,37.8,1,0.4454,0.6926,0.0
77,462.88,3.0,Mensual,Débito Automático,5.9344,4.5,53.0,0,0.6387,0.9227,0.06
48,484.99,31.0,Bianual,Débito Automático,9.8978,31.0,24.3,0,0.395,0.9688,0.62
45,61.01,1.0,Mensual,Tarjeta de Crédito,1.3263,1.5,31.2,0,0.3697,0.0853,0.02
8,244.01,33.0,Anual,Débito Automático,27.1122,33.0,-4.3,1,0.0588,0.4666,0.66
29,184.36,13.0,Bianual,Tarjeta de Crédito,6.1453,13.0,16.4,1,0.2353,0.3423,0.26
42,485.54,24.0,Bianual,Pago Manual,11.2916,24.0,22.2,0,0.3445,0.97,0.48
10,89.93,30.0,Mensual,Débito Automático,8.1755,45.0,-2.0,1,0.0756,0.1455,0.6
82,178.02,34.0,Mensual,Tarjeta de Crédito,2.1448,51.0,47.2,1,0.6807,0.3291,0.68
5,351.81,33.0,Mensual,Débito Automático,58.635,49.5,-6.4,0,0.0336,0.6913,0.66
69,174.19,7.0,Anual,Tarjeta de Crédito,2.4884,7.0,46.2,0,0.5714,0.3211,0.14
108,49.07,33.0,Anual,Débito Automático,0.4502,33.0,65.7,0,0.8992,0.0604,0.66
111,196.46,43.0,Anual,Débito Automático,1.7541,43.0,64.8,1,0.9244,0.3675,0.86
82,176.31,25.0,Anual,Débito Automático,2.1242,25.0,49.9,0,0.6807,0.3255,0.5
